NO,Scale,Lon,Lat,Eco,flux,Observed temperature,T,LAI,SWC,SOC,MAT,TT
199,Yearly,111.92,33.47,Forest,730.1854545,11.33544819,4,2.867865613,0.078727064,0.7,11.33946733,4Y
200,Yearly,105.85,34.26,Forest,556.79,6.939993741,3,1.615111111,0.056110281,0.41,7.550520044,3Y
201,Yearly,100.28,38.4,Forest,557.1933333,-4.965460538,1,0.231183013,0.065073566,1.41,-4.950532309,1Y
202,Yearly,100.12,39.35,Forest,850,9.859993676,3,0,0.071691356,2.41,8.774204227,3Y
203,Yearly,112.1,36.07,Forest,556.5083333,9.099993693,3,0.901304348,0.063808152,0.65,8.681046334,3Y
204,Yearly,112.39,37.74,Forest,892.75,7.109993738,3,0.679130435,0.080915929,0.75,6.993677951,3Y
205,Yearly,112.37,37.73,Forest,1212.3,7.157686044,3,0.476789298,0.079993568,0.75,6.993677951,3Y
206,Yearly,116.25,39.53,Forest,640.48,13.75666026,5,0.595869565,0.038064303,0.6,13.62578307,5Y
207,Yearly,115.43,39.95,Forest,441.5,6.719993747,3,3.115326087,0.071153424,0.3,6.479467436,3Y
208,Yearly,115.43,39.96,Forest,414,6.829993744,3,1.362608696,0.071575931,0.74,6.479467436,3Y
209,Yearly,115.42,39.96,Forest,422.5,6.274993757,3,3.291847826,0.073976548,0.74,6.479467436,3Y
210,Yearly,116.1,40.07,Forest,643.5,8.259993712,3,1.53173913,0.067661076,0.41,8.355256868,3Y
211,Yearly,116.08,40.05,Forest,506.5,7.929993719,3,1.185891305,0.063985553,0.98,8.355256868,3Y
212,Yearly,116.47,39.9,Forest,357.1428571,13.33142217,5,0.212135266,0.028478142,0.65,13.35157255,5Y
213,Yearly,114.26,37.88,Forest,602.296,12.88999361,4,0.784304348,0.069099763,0.36,13.18525676,4Y
214,Yearly,124.92,41.85,Forest,498.4566667,4.049993806,2,2.08826087,0.078186791,0.74,3.678941183,2Y
215,Yearly,124.9,41.85,Forest,535.16,3.999993807,2,2.08826087,0.078186791,0.74,3.657888552,2Y
216,Yearly,123.6,41.91,Forest,551.105,8.899993698,3,0.50673913,0.079954528,1.95,8.094204242,3Y
217,Yearly,128.47,42.4,Forest,716.89,3.119993827,2,2.008913043,0.072599762,0.74,3.543678028,2Y
218,Yearly,128.08,42.4,Forest,562.876,3.175993826,2,1.738956522,0.084131784,0.82,3.103151722,2Y
219,Yearly,127.53,45.38,Forest,603.9908333,2.53749384,2,1.903115942,0.141379323,0.74,2.748941203,2Y
220,Yearly,127.57,45.27,Forest,794.8083333,2.564993839,2,1.939021739,0.123086039,0.74,3.40999382,2Y
221,Yearly,127.57,45.33,Forest,634.915,2.974279544,2,2.184192547,0.120266334,0.74,2.748941203,2Y
222,Yearly,127.58,45.35,Forest,525.312,2.823993833,2,2.093521739,0.132539054,0.74,2.748941203,2Y
223,Yearly,128.87,47.19,Forest,956.57,1.379993866,2,3.01826087,0.09558338,0.74,1.563678072,2Y
224,Yearly,128.87,47.18,Forest,680,1.924993854,2,3.194021739,0.090704146,0.74,1.563678072,2Y
225,Yearly,128.89,47.19,Forest,670.43,2.269993846,2,3.167826087,0.094390808,0.74,1.563678072,2Y
226,Yearly,128.9,47.15,Forest,706.87,2.269993846,2,3.292173913,0.09444579,1.95,1.563678072,2Y
227,Yearly,125.48,51.37,Forest,882.055,-0.900006083,1,1.632444444,0.063005947,0.74,-1.670006066,1Y
228,Monthly,121.53,31.65,Forest,0.421602873,16.93999352,5,0.68,0.502799737,0.41,17.02736194,5M
229,Monthly,121.53,31.65,Forest,0.295123206,8.959993696,3,0.4725,0.499401896,0.41,17.02736194,5M
230,Monthly,121.53,31.65,Forest,0.379447364,23.86999336,6,1.25,0.414447459,0.41,17.02736194,5M
231,Monthly,121.53,31.65,Forest,0.295123206,6.199993758,3,0.263333333,0.388383378,0.41,17.02736194,5M
232,Monthly,121.53,31.65,Forest,0.295122011,16.32999353,5,0.38,0.397945751,0.41,17.02736194,5M
233,Monthly,121.53,31.65,Forest,0.463764355,4.629993793,2,0.3125,0.431605076,0.41,17.02736194,5M
234,Monthly,121.53,31.65,Forest,0.421608846,18.86999347,5,0.705,0.402114093,0.41,17.02736194,5M
235,Monthly,121.53,31.65,Forest,0.463758382,20.69999343,6,0.7225,0.447301348,0.41,17.02736194,5M
236,Monthly,110.27,31.57,Forest,0.599728579,11.96999363,4,2.6675,0.115513429,0.74,11.9157831,4M
237,Monthly,121.53,31.65,Forest,0.505925836,4.289993801,2,0.3475,0.5310062,0.41,17.02736194,5M
238,Monthly,121.53,31.65,Forest,0.548093291,23.60999337,6,0.7275,0.509959406,0.41,17.02736194,5M
239,Monthly,110.27,31.57,Forest,0.84400125,17.05999352,5,4.4375,0.108442843,0.74,11.9157831,4M
240,Monthly,110.27,31.57,Forest,0.968841138,22.69999339,6,6.79,0.070988677,0.74,11.9157831,4M
241,Monthly,110.27,31.57,Forest,0.930404099,20.12999345,6,6.76,0.050678366,0.74,11.9157831,4M
